,Date,Time,Open,High,Low,Close,Volume
259,2013-12-15,00:00:00,854.98,871.8845,805.0,859.71,11388
260,2013-12-16,00:00:00,860.33,864.0,650.9088,690.0,28828
261,2013-12-17,00:00:00,690.0,751.0,613.0,675.0,24688
262,2013-12-18,00:00:00,675.0,679.038754,381.51,520.01,80358
263,2013-12-19,00:00:00,519.74,700.0,491.0,684.99,37418
264,2013-12-20,00:00:00,685.0,721.0,570.0,609.01,26056
265,2013-12-21,00:00:00,608.77,649.0,568.0,595.03,12661
266,2013-12-22,00:00:00,595.06,674.39,574.0123,614.999,13689
267,2013-12-23,00:00:00,612.66,669.0,608.01,654.76,8550
268,2013-12-24,00:00:00,654.76,670.0,627.0,651.83,6806
269,2013-12-25,00:00:00,653.57,681.0,635.0,679.5,3822
270,2013-12-26,00:00:00,680.78,764.0,677.0,757.3889,18161
271,2013-12-27,00:00:00,748.48,763.0,704.0123,720.61,11270
272,2013-12-28,00:00:00,724.75,740.01,690.0,712.2,10090
273,2013-12-29,00:00:00,715.01,732.0,700.0123,728.3,6131
274,2013-12-30,00:00:00,726.82,740.62618,724.73,736.5,4234
275,2013-12-31,00:00:00,735.5,740.0,710.02,729.99,8561
276,2014-1-1,00:00:00,730.24,757.0,730.24,754.22,5883
277,2014-1-2,00:00:00,751.88,800.0,742.52,784.34,9584
278,2014-1-3,00:00:00,784.12,818.99,768.0,807.0,10253
279,2014-1-4,00:00:00,808.5,830.4,791.04,829.0,10768
280,2014-1-5,00:00:00,829.9,939.8,825.0,905.36,18946
281,2014-1-6,00:00:00,905.0,995.0,875.181,919.24,21038
282,2014-1-7,00:00:00,915.7,943.15,781.0,781.0,25356
283,2014-1-8,00:00:00,785.01,849.0,765.0,824.89,20372
284,2014-1-9,00:00:00,824.89,846.35,779.99,826.2,15871
285,2014-1-10,00:00:00,825.5,860.64,799.98,853.02,8011
286,2014-1-11,00:00:00,850.0,915.0,848.0,896.59,10520
287,2014-1-12,00:00:00,898.5,906.0,824.45143,842.1,10376
288,2014-1-13,00:00:00,842.01,844.68,784.0,824.5,14308
289,2014-1-14,00:00:00,823.17,836.99,802.3,816.0,4816
290,2014-1-15,00:00:00,816.0,850.25,811.25,842.1110000000001,7238
291,2014-1-16,00:00:00,842.1010000000001,847.68,812.48,812.48,3686
292,2014-1-17,00:00:00,812.48,820.22,765.03,800.0,11514
293,2014-1-18,00:00:00,798.99,820.0,794.93,811.22,3987
294,2014-1-19,00:00:00,811.2,842.0,794.41,841.11,6661
295,2014-1-20,00:00:00,842.07,844.99,815.01,827.11,5520
296,2014-1-21,00:00:00,826.02,834.17,813.6,824.34,2891
297,2014-1-22,00:00:00,824.89,826.5,803.1,818.0,2938
298,2014-1-23,00:00:00,817.99,823.0,802.52,811.01,2838
299,2014-1-24,00:00:00,811.01,812.7689,767.23,778.0,11262
300,2014-1-25,00:00:00,778.13,817.0,774.38,805.4,4713
301,2014-1-26,00:00:00,806.81,836.7318,794.64,815.0,7513
302,2014-1-27,00:00:00,815.0,824.9999,726.5,750.0,15629
303,2014-1-28,00:00:00,748.123,814.5,741.2139999999999,784.0001,13647
304,2014-1-29,00:00:00,785.0,805.0,781.4417,791.56,3865
305,2014-1-30,00:00:00,792.69,812.65489,770.0,801.5,8205
306,2014-1-31,00:00:00,799.5,809.6746,793.0,803.5,3912
307,2014-2-1,00:00:00,803.58,829.0,801.0,812.5211,4537
308,2014-2-2,00:00:00,815.52,827.2,811.0,814.222,3149
309,2014-2-3,00:00:00,814.222,815.2,798.5,806.01,3446
310,2014-2-4,00:00:00,806.01,814.4,795.2,802.69,3363
311,2014-2-5,00:00:00,800.0,807.48,777.85,778.03,5215
312,2014-2-6,00:00:00,782.0,829.0,678.03,763.11,21114
313,2014-2-7,00:00:00,763.99,764.0,620.0,702.0,42788
314,2014-2-8,00:00:00,702.0,723.97,667.0,680.49,11122
315,2014-2-9,00:00:00,680.49,728.8993498,666.53,689.0,12068
316,2014-2-10,00:00:00,686.11,703.0,200.0,686.8313,41511
317,2014-2-11,00:00:00,686.0,721.35,631.2,674.5,39535
318,2014-2-12,00:00:00,674.5,684.9,642.0,652.05,12849
319,2014-2-13,00:00:00,652.01,658.9899,603.43,605.5,17145
320,2014-2-14,00:00:00,605.6,710.0,535.0,668.0,53681
321,2014-2-15,00:00:00,668.51,670.99,633.3,651.92,10825
322,2014-2-16,00:00:00,654.78,670.9999,585.0,621.0,16745
323,2014-2-17,00:00:00,622.19,664.0,611.0,630.0,15689
324,2014-2-18,00:00:00,630.0,651.3,611.3049990000001,627.95,8466
325,2014-2-19,00:00:00,627.95,636.85,617.89,621.75,4709
326,2014-2-20,00:00:00,624.0,629.0,561.0,561.2,25273
327,2014-2-21,00:00:00,561.4,588.489697,530.0,580.0,28461
328,2014-2-22,00:00:00,580.99,619.0,562.0,608.7,14729
329,2014-2-23,00:00:00,610.26,644.93,601.0,607.15175,15800
330,2014-2-24,00:00:00,606.1111,614.89,531.1,535.9999,34116
331,2014-2-25,00:00:00,533.01,549.0,400.0,534.6,94547
332,2014-2-26,00:00:00,534.69,609.0,526.7501,584.0,37713
333,2014-2-27,00:00:00,586.49,601.2,568.75,583.89,12035
334,2014-2-28,00:00:00,582.01,591.18,545.0,554.25,15293
335,2014-3-1,00:00:00,552.26,577.25,540.2044,568.75,8617
336,2014-3-2,00:00:00,566.5,572.24,555.161,565.37191,3126
337,2014-3-3,00:00:00,566.0,719.25,563.0,680.98,50919
338,2014-3-4,00:00:00,680.98,703.85,658.5,672.0,25025
339,2014-3-5,00:00:00,672.6,678.9999,651.21,669.61,8381
340,2014-3-6,00:00:00,669.61,676.43,648.7,668.0,7057
341,2014-3-7,00:00:00,667.0,669.0,616.23,631.01,17234
342,2014-3-8,00:00:00,633.0,639.999,600.6,616.8001,10971
343,2014-3-9,00:00:00,616.9,654.999,610.25,638.5,8290
344,2014-3-10,00:00:00,638.52,648.3,606.0,626.9801,11575
345,2014-3-11,00:00:00,626.9801,641.9999,615.31,634.01,3634
346,2014-3-12,00:00:00,634.01,654.0,631.0,636.2296,7287
347,2014-3-13,00:00:00,636.10235,648.0,634.5001,644.18,3312
348,2014-3-14,00:00:00,643.1,645.0,623.5,627.98,5526
349,2014-3-15,00:00:00,628.89,639.8899,626.3,635.45,1735
350,2014-3-16,00:00:00,635.45,638.0,628.5801,633.0,1902
351,2014-3-17,00:00:00,632.0,632.5,619.2,623.8,3761
352,2014-3-18,00:00:00,623.8,623.8,600.0,615.5999,7736
353,2014-3-19,00:00:00,615.5999,622.2,605.9841,609.0,3436
354,2014-3-20,00:00:00,608.9841,609.0,584.0,586.5551,8100
355,2014-3-21,00:00:00,588.8294,605.96,555.5,570.9999,19202
356,2014-3-22,00:00:00,570.9798,574.24,550.09,563.0,6731
357,2014-3-23,00:00:00,563.0,571.0,555.0,558.0,4833
358,2014-3-24,00:00:00,557.8884,590.0,550.5,585.6587,9275
359,2014-3-25,00:00:00,584.9899,586.0,568.55,583.9899,4902
360,2014-3-26,00:00:00,583.89,593.25,566.51,576.6,7649
361,2014-3-27,00:00:00,577.9999,579.4799,465.0,474.0,41023
362,2014-3-28,00:00:00,475.0,533.36,470.0,502.25,35985
363,2014-3-29,00:00:00,502.4996,507.99,485.45,492.4398,4635
364,2014-3-30,00:00:00,490.01,491.9999,436.2,460.9999,26151
365,2014-3-31,00:00:00,460.6,488.0,436.1,456.9899,22069
366,2014-4-1,00:00:00,456.3,513.9,453.4,479.9181,19999
367,2014-4-2,00:00:00,477.53,496.2,431.2,437.2203,29119
368,2014-4-3,00:00:00,436.5301,463.0,415.46,447.9999,24590
369,2014-4-4,00:00:00,447.1161,458.5899,430.2,447.0211,10562
370,2014-4-5,00:00:00,448.001,464.5,444.395,463.99,4573
371,2014-4-6,00:00:00,463.5,465.9998,450.0,458.78,2952
372,2014-4-7,00:00:00,458.6,461.0,445.05,446.58,6147
373,2014-4-8,00:00:00,445.222,458.8,445.01,452.3849,4860
374,2014-4-9,00:00:00,452.3849,455.13590889999995,440.0536,442.45,4167
375,2014-4-10,00:00:00,442.4499,442.8689,357.0,364.2,45002
376,2014-4-11,00:00:00,364.04989,433.6,340.0,421.0,38705
377,2014-4-12,00:00:00,421.999,441.0,413.0741,423.3,10732
378,2014-4-13,00:00:00,422.2001,428.2,400.0,418.0,10265
379,2014-4-14,00:00:00,417.6,478.0,406.4,460.0,29763
380,2014-4-15,00:00:00,460.0,526.995,452.0,519.0,24214
381,2014-4-16,00:00:00,519.11,547.0,495.0,531.25,29218
382,2014-4-17,00:00:00,531.25,535.7499,486.1,498.1,18285
383,2014-4-18,00:00:00,499.0,503.9999,474.25,480.04400000000004,9730
384,2014-4-19,00:00:00,480.04400000000004,513.9899,473.83,504.999999,9063
385,2014-4-20,00:00:00,504.99999,517.995,492.2,500.9501,4760
386,2014-4-21,00:00:00,501.3551,515.646,485.0,495.39,8179
387,2014-4-22,00:00:00,499.25,506.0,488.0,489.2503,3570
388,2014-4-23,00:00:00,491.7,496.0,482.88,491.78,4187
389,2014-4-24,00:00:00,492.08,504.96,480.16,503.7,5017
